timestamp,label,confidence,threat_level,reasons,matched_words,links,domains,sender
2026-08-07 00:17:59,PHISHING,0.9044,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com in Bing)
2026-08-07 01:07:44,PHISHING,0.9152,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 01:08:40,PHISHING,0.9152,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 01:15:08,PHISHING,0.9259,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 01:26:04,PHISHING,0.9259,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 01:26:57,LEGITIMATE,0.0614,Low,No strong phishing indicators detected.,,,,None
2026-08-07 01:41:12,PHISHING,0.9259,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 01:41:48,LEGITIMATE,0.0614,Low,No strong phishing indicators detected.,,,,None
2026-08-07 15:39:33,PHISHING,0.9259,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-08-07 16:11:58,LEGITIMATE,0.0614,Low,No strong phishing indicators detected.,,,,None
2026-08-31 20:43:57,PHISHING,0.9161,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
2026-09-15 10:07:01,LEGITIMATE,0.2228,Low,No strong phishing indicators detected.,,,,None
2026-09-15 11:11:55,LEGITIMATE,0.2228,Low,No strong phishing indicators detected.,,,,None
2026-09-15 11:12:55,PHISHING,0.9161,High,"The email asks you to verify or confirm your account.; It uses urgency to pressure you.; It references passwords or login details.; It mentions security updates, often used in phishing emails.","verify, immediately, login, update",https://secure-payroll-verification-center.com/update/employee-login,secure-payroll-verification-center.com,“HR Payroll Support” mailto:payroll-update@secure-payroll-verification-center.com (secure-payroll-verification-center.com)
